epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,659.011,1.11692,0.77557,1.10978,0.77162,0.70158,0.77689,0.50952,1.25455,0.91635,1.2039,0.0011684,0.0011684,0.0011684
44,674.115,1.10667,0.76868,1.10342,0.78998,0.7023,0.77593,0.49894,1.26572,0.91792,1.21893,0.0011486,0.0011486,0.0011486
45,689.191,1.11667,0.77058,1.10175,0.76558,0.72166,0.77952,0.50429,1.27621,0.91146,1.21964,0.0011288,0.0011288,0.0011288
46,704.43,1.10812,0.76874,1.10412,0.78278,0.71092,0.77404,0.50485,1.26466,0.90906,1.21369,0.001109,0.001109,0.001109
47,719.537,1.1009,0.75471,1.10279,0.80053,0.68006,0.77331,0.49677,1.26392,0.92504,1.20082,0.0010892,0.0010892,0.0010892
48,734.783,1.11159,0.76558,1.10433,0.78151,0.68938,0.76383,0.48845,1.27978,0.93409,1.22476,0.0010694,0.0010694,0.0010694
49,749.925,1.10237,0.76596,1.09631,0.78715,0.68293,0.7719,0.49194,1.28028,0.90149,1.22603,0.0010496,0.0010496,0.0010496
50,765.242,1.10511,0.75295,1.09802,0.79338,0.69138,0.76786,0.4973,1.26578,0.90766,1.22156,0.0010298,0.0010298,0.0010298
51,780.365,1.09561,0.72834,1.09295,0.77108,0.70555,0.77739,0.50804,1.23672,0.90442,1.19617,0.00101,0.00101,0.00101
52,795.451,1.09019,0.73368,1.09236,0.79379,0.68483,0.76819,0.49529,1.27082,0.90846,1.22434,0.0009902,0.0009902,0.0009902
53,810.597,1.0893,0.74268,1.09387,0.80954,0.68607,0.76796,0.50107,1.26195,0.90653,1.21741,0.0009704,0.0009704,0.0009704
54,825.699,1.07029,0.71934,1.09114,0.78005,0.69452,0.77136,0.50249,1.26249,0.88438,1.21736,0.0009506,0.0009506,0.0009506
55,840.728,1.06867,0.72501,1.0798,0.79756,0.66983,0.75799,0.49425,1.29319,0.91629,1.23075,0.0009308,0.0009308,0.0009308
56,856.004,1.0775,0.72143,1.08038,0.77903,0.7023,0.76217,0.4984,1.25089,0.92159,1.19658,0.000911,0.000911,0.000911
57,871.207,1.08077,0.72571,1.08606,0.75308,0.72023,0.77809,0.49887,1.2675,0.90324,1.21629,0.0008912,0.0008912,0.0008912
